Name	Score	Pentamer count	Pentamer position	AU-block position	Sequence length
PCDH17	2.6	2	390 865	320...359 377...412 809...893	1064
RRP12	1	1	350		392
RFX6	6.5	5	285 304 356 381 611	19...148 207...459 604...656	657
PRMT3	7.5	6	236 284 663 715 746 801	257...435 437...522 523...645 646...839	840
LRRN3	0	0		20...64 65...152 220...286 287...349 418...467 468...554	555
KLHL29	9.2	7	692 1375 1430 1583 1633 1642 1927	428...468 682...756 881...918 1070...1117 1418...1457 1563...1666 1833...1941	1942
GCNT4	17.6	14	630 707 787 1020 1065 1260 1593 1639 1781 2155 2761 2952 2985 3162	175...220 629...662 705...757 765...828 858...1051 1126...1204 1206...1465 1512...1560 1580...1734 1765...1899 1994...2136 2162...2204 2409...2446 2734...2807 2823...3152 3153...3189 3190...3329	3330
PAIP2B	14.4	12	304 340 672 730 1598 2211 2417 2444 2594 2628 4270 5155	219...277 298...361 889...943 973...1102 1144...1184 1447...1500 1595...1675 1784...1827 2132...2173 2416...2545 2553...2693 2879...2934 3052...3103 3212...3317 3542...3624 3903...3976 4209...4250 4303...4483 4484...4515 4528...4626 4643...4683 4727...4767 4810...4931 5010...5054 5063...5132 5142...5185 5575...5610 5618...5716 5717...5739	5740
CDKN1C	2.6	2	230 363	113...200 219...268 269...380 456...487	698
SGCD	18.3	15	1443 2419 2522 2950 3301 3391 4269 4420 4938 5738 6170 6691 7098 7825 8330	156...246 995...1029 1048...1170 1436...1484 1634...1661 1694...1788 2021...2093 2170...2362 2441...2667 2688...2717 2726...2822 2893...3048 3071...3211 3262...3340 3376...3422 3831...3866 4016...4111 4172...4244 4317...4360 4386...4430 4510...4590 4615...4654 4743...4787 4788...4844 4862...4900 4929...4987 5194...5234 6137...6201 6208...6304 6408...6438 6529...6677 6689...6733 6785...6873 7328...7375 7377...7415 7669...7708 7822...7869 7870...7901 8082...8189 8199...8397	8398
RNF214	2.3	2	77 403	58...202 291...330	537
SMTN	0	0		301...328	329
TCERG1L	0	0		1...28 223...291 622...698 714...770	771
MAT1A	3.6	3	127 253 602	246...273 591...626 1820...1861 1862...1960	1961
ENO3	0	0			84
ACER2	1.3	1	163	100...200 220...340 916...975	1384
IL7R	15	12	44 252 377 674 1537 1821 2033 2208 2433 2467 3002 3091	240...312 333...407 475...549 668...739 780...830 916...1007 1262...1310 1493...1558 1559...1609 1726...1765 1934...1995 2017...2072 2194...2251 2417...2454 2455...2577 2578...2623 2657...2708 2957...3026 3076...3116	3117
OTUD7B	18.9	15	1052 1256 1872 2024 2076 2099 2204 2283 2488 2697 2859 3235 3442 3461 5340	389...428 469...534 732...777 981...1051 1052...1104 1169...1318 1511...1579 1814...1960 2021...2144 2191...2315 2629...2724 2725...2772 2806...2908 2909...2969 3012...3072 3442...3588 3614...3657 3806...3876 3888...3940 4072...4108 4313...4342 4720...4750 4900...4943 5066...5116 5332...5372 5373...5412 5541...5574 5680...5732 6005...6044	6045
PKIA	4.9	4	343 480 897 1011	125...158 478...525 535...640 657...684 740...810 825...866 867...1057 1152...1282 1302...1340 1344...1363	1364
NAB1	12.7	10	38 291 319 559 1089 1125 1151 1189 1242 1986	59...97 199...460 501...778 804...909 912...1002 1051...1548 1561...1730 1802...2008 2013...2304	2433
TSPAN1	0	0			425
APCDD1	3.9	3	75 653 1363	0...106 300...394 481...552 622...701 1359...1388 1489...1526 1652...1706 1745...1779 1783...1909	1910
GAS1	5.2	4	766 1009 1135 1204	497...537 750...791 802...899 916...961 963...1068 1132...1378	1379
GJC2	0	0		720...747	748
TSPAN18	2	2	372 3083	140...202 2143...2183 3028...3075 3115...3168 3194...3242	3243
RAB30	42.1999999999999	33	1204 1409 1684 1945 2078 2092 2215 2546 2670 2750 3111 3289 3350 3384 3787 3801 4099 4447 5002 5599 6194 6281 6303 6357 6384 6812 6987 7403 8288 8352 8433 8443 8576	256...309 484...521 537...576 577...724 784...820 843...997 1076...1141 1142...1192 1251...1319 1397...1444 1447...1553 1671...1755 1781...1823 1876...1973 1995...2115 2213...2277 2414...2564 2584...2659 2725...2818 2854...2947 2952...3052 3064...3168 3191...3232 3233...3323 3325...3374 3410...3445 3563...3697 3718...3903 3925...4006 4007...4147 4148...4191 4240...4332 4353...4425 4759...4827 4958...5032 5172...5353 5417...5524 5578...5642 5819...5941 6162...6258 6293...6537 6583...6654 6667...7030 7051...7108 7153...7302 7336...7392 7393...7450 7473...7767 7801...7848 7850...7997 8177...8467 8490...8651 8731...9031	9032
TMEM163	1	1	65	495...673 690...797	957
SLC35G2	1.3	1	134	5...188	189
TRPM3	0	0		106...144	241
P4HA1	2.6	2	264 975	168...239 244...341 498...575 603...669 702...793 850...886 887...1004	1005
CEP126	9.25	7	289 439 737 743 1862 3013 3184	29...120 187...273 274...323 405...575 621...683 733...789 805...874 930...969 970...1330 1331...1503 1680...1749 1751...1791 1800...1829 1879...1908 1909...1963 1975...2041 2146...2191 2387...2428 2439...2479 2513...2588 2631...2685 2728...2814 3178...3234	3235
CCDC61	0	0		195...227	228
VCL	2.6	2	154 1903	139...236 951...1010 1019...1111 1566...1621 1635...1752 1829...1990	1991
C3orf18	2	2	1485 1571	1098...1147 1500...1533 1601...1631	1632
ZNF517	1.3	1	585	568...614	749
GAB3	3.6	3	1312 2054 2184	46...108 344...380 841...877 1024...1067 1547...1603 1634...1673 1955...2006 2009...2090 2102...2136 2168...2212 2340...2374 2517...2551 2858...2924	2925
ARHGEF33	4.9	4	360 395 842 1133	0...230 258...335 355...453 518...688 982...1042 1123...1190 1464...1516 1572...1601	1602
CYB5RL	0	0		89...126	127
SERPINE1	4.9	4	783 849 1125 1531	64...152 685...735 772...808 827...890 1301...1339 1445...1556 1557...1595 1630...1669 1712...1823	1824
CDC42EP4	2.3	2	956 1222	724...795 813...868 950...977 1055...1102 1266...1308 1321...1373 1734...1805	1806
MYZAP	4.65	3	661 729 737	287...325 334...431 651...865	866
SOCS2	5.95	4	129 135 511 967	0...50 116...160 229...275 449...743 902...940 950...994	995
SMC5	10.4	8	421 468 776 875 1281 1702 1744 2265	20...231 251...302 349...401 409...614 690...753 757...972 996...1184 1185...1429 1430...1726 1727...1865 1866...1930 2054...2094 2191...2332 2335...2483 2510...2556	2557
ARG2	4.6	4	111 227 249 299	159...293 754...799	800
GBP3	2.6	2	191 777	34...213 502...654 700...871 874...1057	1058
ERO1B	21.8	17	119 139 176 424 853 878 898 971 1190 1210 1419 1503 1698 1840 1879 2279 2902	50...404 414...468 473...537 589...661 821...1012 1029...1060 1085...1147 1165...1439 1501...1607 1684...1833 1834...1872 1873...2087 2091...2139 2299...2386 2387...2640 2801...2875 2886...2926 2927...2960	2961
CECR6	1	1	3017	826...869 1300...1339 1403...1437 1528...1566 1567...1658 2111...2147 2869...2918 3026...3091	3092
NHS	14.3	11	237 423 484 606 1255 2126 2694 2719 2836 3172 3406	116...164 176...260 261...323 350...512 534...788 825...888 904...1012 1022...1113 1115...1171 1187...1290 1433...1623 1783...1812 1831...2006 2119...2203 2286...2351 2358...2398 2446...2848 2942...3068 3157...3233 3262...3513	3514
ARC	0	0		1327...1367 1512...1555	1556
C11orf24	2.6	2	125 181	113...213	310
PRMT9	3.3	3	142 476 1928	130...169 1612...1651 1815...1886 2233...2334	2335
DSEL	21.85	15	178 921 2452 2516 3015 3056 3120 3134 3139 3146 3530 3960 4145 4158 4164	15...54 66...103 134...173 175...206 208...261 287...327 469...541 581...689 699...762 878...964 1111...1204 1367...1407 1538...1586 1612...1654 1676...1866 1890...1936 2046...2086 2217...2265 2308...2372 2395...2429 2511...2557 2720...2879 2880...3106 3116...3200 3201...3269 3420...3583 3584...3641 3768...3804 3948...4304 4349...4387	4388
ZNF594	1.3	1	1145	957...999 1023...1189 1290...1362 1363...1417 1583...1621	1755
TGIF1	0	0		57...293 366...465	466
EDARADD	2.6	2	200 329	70...102 187...256 316...357 810...851 2053...2100 2215...2253	2265
PEX5	3.6	3	297 1166 1199	1114...1152 1158...1259	1260
ZFAND5	3.6	3	767 1293 1410	18...79 120...169 211...292 376...415 449...493 741...955 1189...1287 1311...1390 1396...1494	1495
REL	31.45	25	8 87 587 1714 1722 2301 2415 2482 3475 3999 4165 4583 5720 6049 6434 6505 7527 7741 7889 8173 8227 8242 8309 8577 8933	4...231 338...378 500...655 696...749 779...873 937...977 1245...1287 1303...1383 1700...1985 2003...2044 2048...2263 2290...2815 2878...3131 3155...3376 3424...3509 3665...3739 3830...3866 4200...4268 4333...4436 4654...4705 4706...4772 4910...4967 5070...5114 5224...5280 5348...5402 5612...5675 5772...5830 6118...6202 6419...6469 6516...6552 6954...6993 7222...7257 7265...7331 7451...7492 7501...7610 7625...7729 7730...7869 7877...8124 8125...8225 8226...8653 8712...8744 8751...8824 8825...8900 8920...9074	9075
DNAJB5	0	0		95...151 1093...1171	1172
GNA14	3.9	3	295 453 597	167...355 394...492 515...626 658...706 745...814	900
NAV3	5.3	5	586 897 1550 1969 2481	20...94 179...260 650...702 710...819 938...1032 1033...1068 1134...1167 1211...1311 1373...1463 1623...1675 2072...2177 2188...2409 2410...2445 2450...2489	2490
MNT	0	0		631...683 2641...2731 2783...2828	2841
CCDC163	3.9	3	1335 1368 1396	525...563 850...893 1022...1072 1322...1412	1413
SPAG1	6.5	5	219 247 526 702 789	0...324 328...758 762...855	881
KIAA1024	9.1	7	364 1205 1775 2112 3520 3577 3616	256...344 345...438 987...1071 1117...1304 1401...1543 1608...1852 2075...2134 2257...2300 2339...2390 2811...3035 3087...3251 3281...3315 3316...3373 3374...3686 3754...3905	3906
TM4SF1	4.9	4	47 166 248 519	32...109 155...239 283...413 507...547 604...652 670...706 808...843	844
MATN2	2.6	2	177 216	77...138 158...283 394...499	500
TMOD1	7.3	6	224 341 722 733 905 1743	149...249 380...550 636...685 720...803 1197...1291 1516...1559	2050
RAB40C	1.3	1	296	289...348 1615...1647	1649
MPP3	2.6	2	515 1024	397...428 512...581 1009...1052	1072
PLPP3	2.3	2	1469 1516	107...180 475...539 1383...1513 1531...1803	1804
ZCCHC2	7.25	5	227 1531 1537 1628 1822	74...184 207...370 371...413 577...679 686...788 956...1007 1161...1265 1380...1424 1481...1582 1613...1774 1808...1865 1866...1999	2000
GLIPR1	1	1	324	91...217 255...321 385...555	659
VASP	1	1	505	353...415 416...484 629...668	806
RP11-903H12.5	2.6	2	715 732	561...646 656...695 713...901 953...989 990...1030 1053...1211	1212
PLA2G4D	4.9	4	500 555 748 855	484...637 663...701 736...773 908...1000 1007...1031	1032
ERVMER34-1	0	0		269...311	312
EME1	3.6	3	202 313 487	307...372 471...526	544
NCALD	0	0		42...108 228...307 561...604 653...703 707...979 983...1014 1486...1533 1730...1765	2582
RELB	0	0			404
CBY1	1	1	13	543...617	618
KIF3A	22.9	17	311 330 574 1578 1704 1823 1948 2096 2991 3029 3136 3199 3213 3217 3476 3669 3805	9...251 297...421 497...789 790...893 913...1165 1278...1311 1438...1546 1547...1654 1686...1750 1809...1850 1875...2141 2142...2232 2372...2411 2525...2632 2633...2671 2795...2838 2946...2984 3048...3375 3445...3499 3515...3640 3693...4005	4006
CDCA2	0	0		93...181	182
IQSEC3	1	1	2583	2021...2050 3329...3426	3427
CASP9	0	0		583...672	673
ETFBKMT	4.65	3	279 284 937	17...275 276...342 348...437 502...535 662...700 826...871 916...976	977
ATP6V0A1	1	1	128	1426...1457	1462
MTSS1	8.5	7	272 362 490 642 931 1327 1647	25...118 136...325 339...527 910...1000 1110...1208 1238...1304 1552...1593 1630...1712 1806...1969 1982...2089 2099...2149 2178...2201	2202
FAM196A	4.9	4	628 1073 1710 1875	56...91 143...195 225...288 345...428 429...466 530...584 768...809 1070...1435 1637...1680 1696...1736 1862...2085 2086...2242 2332...2406	2407
SPSB4	2.6	2	485 1163	462...516 877...933 1078...1185 1451...1480	1481
KCTD8	3.9	3	700 719 857	129...423 436...772 805...880	881
CDKN1A	3.9	3	109 175 247	78...135 162...206 223...267 436...479	1539
ZNF550	4.6	4	545 1543 1826 1886	42...77 110...170 308...346 367...434 533...625 690...732 1071...1225 1243...1356 1372...1435 1565...1703 1708...1767 1768...1813 1882...1925	1926
NOG	3.9	3	228 370 612	96...150 219...392 408...446 461...519 527...663	668
CLEC2D	3.9	3	147 301 318	118...276 291...327	328
LSR	0	0		15...62 80...104	105
KLF15	4.9	4	68 820 982 1057	50...89 836...936 937...1091	1092
SLC7A1	10.5	9	1806 2070 2402 3015 3963 4395 4455 4545 4813	1050...1114 1821...1876 1893...1952 1988...2046 2078...2108 2424...2540 2542...2572 3014...3064 3933...3995 4140...4173 4444...4701 4711...4851 4865...4904 4983...5069	5070
PPP2R2B	1	1	347	3...151 355...439	440
AGAP3	0	0			848
ARHGEF17	2.3	2	387 427	381...422 1270...1310	1311
NEDD9	4.9	4	845 1039 1358 1469	64...163 199...255 299...352 365...428 595...635 796...903 1293...1393 1394...1588 1589...1646 1687...1736 1756...1822 1823...1863	1864
SOWAHC	13.1	10	754 880 911 1253 1352 1390 1455 2002 2012 2374	0...83 90...124 252...336 347...462 475...704 723...818 823...875 877...997 1002...1241 1242...1279 1280...1489 1587...1675 1781...1815 1940...2123 2134...2263 2288...2361 2400...2459 2524...2820 2837...2922	2923
MARCH4	1.3	1	727	718...779 1348...1446	1447
SPSB1	5.4	3	604 632 636	600...672 1426...1528 1529...1593 1615...1650 1659...1696 1895...1956	1957
SLC6A12	0	0			991
HEY2	6.9	6	247 658 794 846 897 930	581...653 670...726 777...821 886...988 1036...1154 1179...1240 1241...1310 1311...1466	1467
C7orf25	1.3	1	34	0...57 75...290 338...359	360
KIRREL3	0	0			1221
ETV5	5.2	4	817 1820 1888 1975	403...454 466...547 719...752 775...881 1120...1163 1229...1288 1351...1474 1806...1880 1883...2024	2331
EVA1A	1.3	1	474	400...440 469...514 542...581 582...628 654...747	750
FAT1	3.6	3	221 289 604	232...277 278...431 442...650 692...808	809
MGAT3	1	1	1773	3090...3244	3245
S1PR5	1	1	113	37...83 837...918	923
VANGL1	26.5	21	2142 2376 2385 3167 3426 3911 3915 3957 3985 4029 4258 4577 5433 5690 5836 5901 6003 6105 6180 6336 6620	6...74 75...115 426...466 575...626 1600...1724 1773...1815 1983...2072 2119...2165 2208...2331 2361...2410 2419...2489 2536...2650 2659...2906 3369...3418 3829...3939 3946...4096 4210...4291 4619...4672 5073...5125 5212...5265 5305...5384 5396...5432 5537...5576 5886...5919 5948...6058 6180...6214 6272...6333 6417...6465 6719...6747 6769...6844	6845
ENPP1	18.35	14	613 695 1198 1215 1223 1398 1538 1742 2121 2406 2589 2672 3018 3423	36...101 316...366 411...648 652...731 732...769 779...817 839...889 1115...1153 1182...1273 1277...1314 1318...1357 1397...1681 1682...1787 2550...2613 2630...2733 2740...2790 3018...3058 3076...3160 3202...3305 3310...3484 3602...3646 3770...3808 4134...4189 4479...4525	4644
OLFML3	1.3	1	40	32...98 103...177 455...484	485
NDRG4	1	1	1003	1531...1611 1675...1722 1753...1855	2052
KIAA1328	0	0		0...37 161...198 337...384 544...588 648...687	688
KCNB1	6.4	4	3985 4507 5182 5186	614...646 809...929 967...1077 1094...1124 2406...2581 2635...2699 2874...2984 3015...3047 3054...3102 3502...3552 3890...3950 4460...4624 5169...5235 5354...5393 5986...6029 6080...6160 6259...6300 6489...6520 7120...7154 7212...7252 7579...7629 7682...7730 7990...8027 9018...9075 9083...9105	9106
RADIL	1	1	167	212...272	273
GATA2	2.6	2	332 1504	317...373 832...879 880...931 1379...1591	1592
FAXDC2	2.3	2	967 1096	964...1007 1127...1240 1496...1560 1707...1824	1825
VWA5B2	0	0			245
PEX11A	9.8	8	116 315 1198 1225 1243 1275 1573 1714	208...276 281...341 868...910 1016...1052 1170...1374 1582...1676 1698...1755 1756...1845	1846
PRKCH	7.5	6	163 456 502 629 726 982	148...182 191...240 440...587 605...657 963...1144	1145
AJUBA	10.8	9	186 661 1306 1393 1439 1490 1892 1941 2116	283...334 494...561 748...784 1297...2040 2208...2256	2269
NPTX1	3.3	3	2702 3333 3530	402...448 518...570 584...632 2763...2810 2931...3074 3523...3580 3608...3646	3665
CDKN2C	1.3	1	161	60...265 295...362	363
RIMS2	15.5	11	349 746 942 1467 1496 1820 2163 2193 2365 2369 2574	31...74 317...371 623...671 672...705 706...813 831...1034 1035...1063 1066...1117 1170...1240 1269...1547 1549...1751 1864...2106 2129...2184 2188...2334 2353...2415 2470...2516 2539...2604	2605
PTPN3	14.7	12	200 1183 1288 1314 1386 1532 2408 2427 2911 2970 3120 3822	129...174 1051...1109 1154...1245 1246...1374 1375...1487 1738...1847 1865...1968 2403...2475 2527...2573 2580...2618 2796...2892 2934...2995 3107...3172 3341...3375 3425...3470 3749...3805 3806...3855	3856
ZNF488	1	1	1081	511...549 1263...1296 2288...2310	2311
MAF	11.2	9	1252 1357 1474 1922 2482 2805 3085 3095 4124	301...336 416...462 487...545 595...706 720...787 858...994 995...1052 1070...1138 1275...1318 1345...1460 1461...1634 1650...1768 1787...2006 2007...2085 2086...2217 2228...2340 2465...2563 2800...2996 3034...3077 3190...3263 3349...3428 3466...3499 3553...3601 3627...3817 3828...3904 3906...3939 3987...4166 4185...4236 4333...4390 4407...4449	4450
DOK5	0	0		143...247 270...311 382...518 531...604 618...691	692
PKDCC	0	0		156...195 757...839	840
AGPAT5	15.3	12	81 366 408 477 615 742 916 1405 1777 1813 2123 2151	67...168 341...392 393...653 654...779 804...852 1242...1274 1385...1583 1716...1921 1945...2104 2109...2200 2204...2277	2278
STXBP1	3.6	3	308 1660 1675	161...254 375...413 1101...1164 1649...1844	1859
FRMPD1	0	0		83...134	135
TET1	6.2	5	710 958 1942 2036 2517	109...149 192...403 421...467 496...593 594...734 751...936 1064...1185 1249...1522 1628...1939 1940...1979 1980...2012 2034...2076 2117...2354 2363...2465 2501...2538 2540...2604 2631...2667	2668
UPP1	0	0			492
FGD3	0	0			643
DOC2B	2.3	2	3700 4441	2992...3027 3162...3200 3281...3313 3677...3761 4083...4125 4252...4283 4473...4528 4555...4651	4652
STAMBPL1	2.6	2	100 130	80...183	263
STARD9	4.1	3	1235 1317 1329	470...523 552...607 810...845 1222...1406	1407
MLKL	0	0		174...254 620...642	643
PDLIM3	3.9	3	238 275 533	127...163 224...514 515...542	543
CCNF	1.3	1	794	705...836 853...889 1226...1275 1393...1420	1834
DLC1	0	0		130...174 211...233	234
GPRIN3	43.6999999999999	35	8 30 346 715 996 1742 1757 1960 2263 2722 3026 3079 3328 4044 5710 5790 6036 6428 6713 6954 7412 7674 8204 8407 8499 8582 8740 8865 8922 9569 9733 10076 10129 10408 11360	115...160 161...742 773...812 838...879 971...1020 1021...1236 1629...1712 1715...1805 1833...1984 2220...2328 2346...2461 2491...2624 2666...2808 2875...3017 3018...3139 3151...3206 3210...3257 3314...3372 3373...3639 3718...3856 3870...4019 4042...4075 4249...4322 4420...4485 4498...4615 4840...4929 4959...5103 5359...5431 5469...5548 5589...5684 5708...5756 5806...5958 5959...6151 6163...6192 6200...6342 6379...6551 6552...6667 6792...6829 6870...7064 7209...7248 7403...7478 7530...7618 7656...7773 7930...7963 8094...8139 8186...8246 8247...9029 9062...9133 9553...9634 9661...9700 9719...9797 10029...10068 10088...10160 10451...10627 10738...10837 10838...10898 10983...11051 11139...11393	11394
ABCB11	1	1	640	44...80 90...161 181...241 496...553	684
NOVA1	17	12	255 489 538 1011 1146 1679 1691 1827 1851 1855 1942 2026	79...278 279...383 458...611 712...759 824...1034 1391...1431 1450...1507 1639...1740 1741...1966 2018...2069	2070
SPRY4	9.8	8	663 1765 1795 1839 2228 3623 3651 3729	268...307 910...954 955...998 1203...1269 1750...1818 1822...1904 2004...2044 2602...2666 3605...3779	3782
FAM107A	0	0		855...886 1117...1245 1404...1452 2431...2470	2471
CCDC85A	14.2	11	478 666 861 885 925 1438 1450 1494 1563 1628 1806	276...365 420...460 514...627 666...747 775...848 849...957 958...993 1055...1193 1211...1374 1375...1655 1689...1817	1818
HEMK1	0	0			255
SPACA9	1	1	87	34...68	233
CTPS2	2.3	2	559 725	387...428 491...526 644...699 709...881 883...941 942...1040 1045...1103 1169...1233 1364...1460	1511
ELMSAN1	11.9	9	614 1558 1562 1575 1636 2389 3501 3632 4116	1553...1603 2002...2067 2471...2506 2573...2639 2761...2806 2908...2963 3048...3092 3172...3211 3675...3714 3715...3802 3833...3923 3942...4169	4170
EFNA3	0	0		622...662 957...994	995
SOWAHA	1.3	1	567	371...677 693...855 874...928 973...1165 1253...1402	1526
CDCP1	11	9	437 459 600 814 826 1602 2020 2306 3043	418...499 504...539 803...883 1389...1428 1598...1662 1679...1752 1871...1909 2143...2208 2228...2269 3030...3148 3328...3359	3360
PER1	1	1	344	534...595	596
PTX4	0	0			53
PGM5	1	1	1363	94...134 143...197 228...269 337...370 623...795 925...962 1373...1404	1405
CITED4	0	0			522
TFEB	0	0			621
KIF20A	1.3	1	187	71...122 129...301	302
YBX3	1.3	1	458	56...87 153...227 290...367 373...444 448...475	476
STX1B	0	0		908...967 1095...1142	3565
ZNF620	2.6	2	226 1184	30...77 109...148 175...247 513...551 680...774 804...878 901...950 1170...1222 1237...1307 1516...1592 1696...1730 1851...1872	1873
PLB1	3.6	3	379 1514 1993	65...104 1505...1596 1674...1720 1973...2009	2010
LMX1B	2.6	2	4411 4437	317...360 1386...1455 1584...1621 4399...4461 4520...4580	4581
PPP1R3C	1	1	153	214...268 438...513 535...574 632...698 1143...1270 1303...1341 1401...1442 1452...1484	1485
CCDC187	3.6	3	3049 3070 3450	3019...3086	3623
ENC1	18.45	12	371 610 661 669 894 1037 1185 1189 1193 1227 1275 1313	53...81 217...260 273...304 371...410 595...692 788...834 853...882 883...925 1080...1174 1175...1253 1387...1467 1654...1797 2538...2618	2619
MICALL2	0	0			230
ANK3	0	0		121...155	156
FOSB	3.3	3	876 1409 1530	1397...1438 1553...1613 1889...1925 1930...1969 2143...2165	2166
TUBB8	0	0		109...164	165
ABHD14A-ACY1	0	0			429
ITGB3	4.6	4	213 455 1053 1306	205...246 1187...1222 1223...1331 1573...1611	1612
SLC27A2	1.3	1	170	55...130 131...209 236...294	299
PTP4A1	6.5	5	330 707 835 1152 1271	44...132 278...361 362...479 542...731 770...995 1031...1175 1242...1287	1288
SPATA13	9	7	1188 1200 2382 2432 3423 3960 4214	962...999 1128...1241 1403...1484 1524...1571 1681...1716 2136...2205 2249...2426 2630...2698 2892...3041 3058...3100 3101...3143 3233...3356 3416...3479 3767...3952 3953...4028 4166...4300	4301
CH507-9B2.1	0	0			2179
FAM46C	5.65	4	1436 1542 4309 4316	111...159 527...559 682...771 779...857 884...923 1028...1099 1322...1419 1447...1487 1532...1590 1682...1742 1857...1896 2723...2779 2959...3028 3216...3278 3849...3914 4010...4194 4291...4327	4328
ZKSCAN3	1	1	95	139...207 256...290 393...423 437...460	461
RGPD8	0	0		48...85	86
PLEKHG1	4.6	4	927 1475 2408 2739	19...165 246...293 387...521 545...619 674...796 913...950 1083...1360 1363...1402 1414...1464 1501...1657 1722...1858 1981...2007 2154...2191 2235...2297 2451...2543 2560...2668 2670...2768	2769
SHC4	3.9	3	65 839 875	54...111 142...210 211...334 387...610 745...781 782...1090 1270...1375 1523...1588 1622...1869 2030...2235	2236
NHLH1	25.75	11	1201 1205 1209 1213 1217 1229 1233 1241 1245 1249 1265	748...792 979...1018 1189...1289 1666...1710	1715
PDE8B	0	0			79
ABLIM3	1.3	1	25	7...67 1669...1701 1980...2043	2138
CDKL5	32.35	25	527 531 660 739 1325 1680 1921 2167 2791 3048 3147 3627 3744 4129 5110 5180 6150 6348 6851 7262 7857 8093 8976 9533 9541	100...149 391...428 476...624 628...841 1345...1398 1624...1655 1667...1715 1790...1831 1848...2065 2164...2212 2521...2559 2788...2830 2893...2994 3713...3817 3852...3932 3950...3989 4104...4207 4495...4533 4931...4996 5207...5236 5720...5759 5931...6125 6158...6307 6308...6647 6787...6878 6885...6928 7019...7053 7162...7193 7198...7240 7316...7388 7515...7556 7567...7646 7833...8053 8061...8114 8330...8364 8463...8502 8620...8671 8797...8844 8971...9009 9029...9086 9472...9606 9610...9649	9650
KCND2	10.1	8	1259 1339 1395 1491 1699 1997 2156 2231	61...228 271...610 663...832 857...937 1037...1090 1123...1174 1175...1335 1336...1375 1429...1552 1556...1614 1675...1761 1794...1867 1876...1953 1997...2261 2291...2472	2473
CABLES1	2	2	838 933	69...115 613...664 944...995 1248...1285	1286
VGF	0	0		242...282	283
TPPP	5.6	4	4007 4018 4119 4869	3564...3615 3998...4050 4067...4169 4832...4946 5217...5239	5240
HPSE	0	0		0...23	24
UST	4.9	4	1037 2394 2557 2600	97...131 156...206 310...370 610...655 1512...1575 1633...1669 1694...1840 2153...2249 2360...2408 2478...2508 2526...2630 2646...2739 2748...2873	2874
SLCO5A1	27.35	18	17 491 2544 2715 2762 2852 3395 3634 3664 3670 3674 3723 3727 3740 4842 5054 5457 5685	6...64 69...114 375...422 456...551 724...897 929...968 1048...1079 1098...1159 1443...1476 1867...1938 2043...2113 2374...2491 2536...2652 2657...2785 2803...2900 2927...3071 3194...3235 3332...3780 3792...3996 4382...4478 4594...4642 4700...4744 4762...4797 4802...4875 5042...5195 5214...5446 5449...5484 5495...5559 5625...5821	5822
HOXC8	1	1	380	87...149 456...556 826...882 883...980	981
CST2	0	0			251
NIPAL1	13.7	11	111 898 1001 1654 2604 2769 3308 3452 3497 3816 3990	127...275 429...478 585...619 783...828 858...957 964...1028 1036...1139 1187...1364 1368...1544 1565...1966 1978...2079 2134...2205 2301...2342 2436...2536 2603...2657 2790...2906 3002...3040 3163...3240 3256...3368 3394...3565 3575...3828 3837...4000	4001
FOXD1	2.3	2	192 527	365...425 426...463 467...708	709
SIGLEC11	0	0		449...488 617...643	644
ZNF404	0	0		61...112 119...191	192
DUSP16	5.3	5	829 949 1220 2133 2431	17...137 249...309 734...792 868...972 1039...1092 1255...1294 1912...2032 2458...2515 2552...2622	2623
SKIL	1.3	1	82	65...107 132...330	331
HOXA11	1.3	1	1156	177...215 1044...1109 1111...1182 1207...1245 1246...1280	1281
BCL11A	1.3	1	264	255...318 451...514	515
SLC24A3	2.3	2	1417 1458	338...396 1361...1388 1408...1443 1525...1585 1727...1764	1797
TMEM107	5.2	4	215 484 518 991	214...292 293...337 476...505 506...563 940...1014	1015
SMIM10L2A	3.6	3	2293 4521 4789	2433...2494 4346...4490 4506...4545 4556...4598 4625...4665 4765...4803	4804
TCF7	1.3	1	1344	714...769 1326...1388 1500...1536 1662...1712 1806...1925	1926
KIAA1462	17	14	59 229 640 732 877 2071 2367 2389 2525 2645 2787 3544 3712 4520	213...273 539...690 697...908 966...1099 1135...1185 1226...1465 1574...1662 1719...1788 2055...2153 2181...2239 2294...2432 2433...2515 2519...2907 3054...3081 3349...3421 3627...3687 3817...3855 3864...3934 4401...4444 5052...5082	5083
LRRC27	0	0			214
C11orf96	5.4	3	496 526 530	220...260 417...447 486...523 525...565 577...609	610
SV2C	11.8	10	136 366 777 1426 2598 5046 7141 7317 8302 8347	129...160 179...240 364...423 424...497 922...966 1413...1504 2009...2046 2116...2151 2193...2232 2269...2307 2711...2769 2782...2821 3208...3256 3378...3416 3522...3614 3770...3806 3807...3990 4135...4250 4333...4370 4468...4565 4692...4780 4836...4885 5019...5077 5230...5279 5288...5322 5470...5509 6110...6150 6898...7026 7476...7553 7662...7784 7819...7937 7966...8019 8187...8217 8289...8408	8409
ZNF490	1.3	1	156	146...180 305...350 351...405 520...558 815...867 916...970 1074...1114 1217...1254 1376...1411 1518...1547 1560...1614	2524
